Torneo,Ciudad,Fecha,Link_Resultados
United Cup,"Perth-Sydney, Australia |",,https://www.atptour.com/en/tournaments/perth-sydney/9900/results
Brisbane International presented by ANZ,"Brisbane, Australia |",,https://www.atptour.com/en/tournaments/brisbane/339/results
Bank of China Hong Kong Tennis Open,"Hong Kong, Hong Kong |",,https://www.atptour.com/en/tournaments/hong-kong/336/results
Adelaide International,"Adelaide, Australia |",,https://www.atptour.com/en/tournaments/adelaide/8998/results
ASB Classic,"Auckland, New Zealand |",,https://www.atptour.com/en/tournaments/auckland/301/results
Australian Open,"Melbourne, Australia |",,https://www.atptour.com/en/tournaments/australian-open/580/results
Open Occitanie,"Montpellier, France |",,https://www.atptour.com/en/tournaments/montpellier/375/results
Davis Cup Qualifiers 1st Rd,"Multiple Locations,  |",,https://www.atptour.com/en/tournaments/davis-cup-qualifiers-1st-rd/8096/results
Nexo Dallas Open,"Dallas, United States |",,https://www.atptour.com/en/tournaments/dallas/424/results
ABN AMRO Open,"Rotterdam, Netherlands |",,https://www.atptour.com/en/tournaments/rotterdam/407/results
IEB+ Argentina Open,"Buenos Aires, Argentina |",,https://www.atptour.com/en/tournaments/buenos-aires/506/results
Qatar ExxonMobil Open,"Doha, Qatar |",,https://www.atptour.com/en/tournaments/doha/451/results
Rio Open presented by Claro,"Rio de Janeiro, Brazil |",,https://www.atptour.com/en/tournaments/rio-de-janeiro/6932/results
Delray Beach Open,"Delray Beach, United States |",,https://www.atptour.com/en/tournaments/delray-beach/499/results
Dubai Duty Free Tennis Championships,"Dubai, United Arab Emirates |",,https://www.atptour.com/en/tournaments/dubai/495/results
Abierto Mexicano Telcel presentado por HSBC,"Acapulco, Mexico |",,https://www.atptour.com/en/tournaments/acapulco/807/results
BCI Seguros Chile Open,"Santiago, Chile |",,https://www.atptour.com/en/tournaments/santiago/8996/results
BNP Paribas Open,"Indian Wells, United States |",,https://www.atptour.com/en/tournaments/indian-wells/404/results
