tourney_id,tourney_name,surface,tourney_date,winner_name,loser_name,score,round,minutes,scraping_date,draw_size,tourney_level,match_num,winner_id,winner_seed,winner_entry,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_hand,loser_ht,loser_ioc,loser_age,best_of,winner_rank,winner_rank_points,loser_rank,loser_rank_points,court_ace_pct,court_speed
2026-perth-sydney-0,perth-sydney,Hard,20260102,Barbora Krejcikova,Maya Joint,6-4 6-1,Round Robin Day 5 ,100,2026-03-04,0,0,0,0,0,0,R,185.0,UNK,25,0,0,0,R,185.0,UNK,25,0,150.0,0,150.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Jessica Bouzas Maneiro,Coco Gauff,6-1 6-7 3-0,Round Robin Day 4 ,100,2026-03-04,0,0,0,0,0,0,R,185.0,UNK,25,0,0,0,R,185.0,UNK,25,0,150.0,0,150.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Taylor Fritz,Jaume Munar,7-6 3-4 7-6,Round Robin Day 4 ,100,2026-03-04,0,0,0,0,0,0,R,196.0,USA,29,0,0,0,R,183.0,ESP,29,0,7.0,0,36.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Maria Sakkari,Emma Raducanu,6-3 3-6 6-1,Round Robin Day 4 ,100,2026-03-04,0,0,0,0,0,0,R,185.0,UNK,25,0,0,0,R,185.0,UNK,25,0,150.0,0,150.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Stefanos Tsitsipas,Billy Harris,4-6 6-1 7-6,Round Robin Day 4 ,100,2026-03-04,0,0,0,0,0,0,R,193.0,GRE,28,0,0,0,R,193.0,GBR,31,0,43.0,0,151.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Hubert Hurkacz,Alexander Zverev,6-3 6-4,Round Robin Day 4 ,100,2026-03-04,0,0,0,0,0,0,R,196.0,POL,29,0,0,0,R,198.0,GER,29,0,71.0,0,4.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Iga Swiatek,Eva Lys,3-6 6-3 6-4,Round Robin Day 4 ,100,2026-03-04,0,0,0,0,0,0,R,185.0,UNK,25,0,0,0,R,185.0,UNK,25,0,150.0,0,150.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Barbora Krejcikova,Malene Helgo,6-4 6-3,Round Robin Day 4 ,100,2026-03-04,0,0,0,0,0,0,R,185.0,UNK,25,0,0,0,R,185.0,UNK,25,0,150.0,0,150.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Jakub Mensik,Casper Ruud,7-5 7-6,Round Robin Day 4 ,100,2026-03-04,0,0,0,0,0,0,R,193.0,CZE,21,0,0,0,R,183.0,NOR,28,0,12.0,0,13.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Felix Auger-Aliassime,Zhizhen Zhang,6-4 6-4,Round Robin Day 3 ,100,2026-03-04,0,0,0,0,0,0,R,185.0,UNK,25,0,0,0,R,193.0,CHN,30,0,150.0,0,262.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Victoria Mboko,Lin Zhu,2-6 6-2 6-0,Round Robin Day 3 ,100,2026-03-04,0,0,0,0,0,0,R,185.0,UNK,25,0,0,0,R,185.0,UNK,25,0,150.0,0,150.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Belinda Bencic,Jasmine Paolini,6-4 6-3,Round Robin Day 3 ,100,2026-03-04,0,0,0,0,0,0,R,185.0,UNK,25,0,0,0,R,185.0,UNK,25,0,150.0,0,150.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Flavio Cobolli,Stan Wawrinka,6-4 6-7 2-6 7-4,Round Robin Day 3 ,100,2026-03-04,0,0,0,0,0,0,R,183.0,ITA,24,0,0,0,R,183.0,SUI,41,0,15.0,0,92.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Billy Harris,Shintaro Mochizuki,7-6 6-4,Round Robin Day 3 ,100,2026-03-04,0,0,0,0,0,0,R,193.0,GBR,31,0,0,0,R,175.0,JPN,23,0,151.0,0,130.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Naomi Osaka,Katie Swan,7-6 6-4,Round Robin Day 3 ,100,2026-03-04,0,0,0,0,0,0,R,185.0,UNK,25,0,0,0,R,185.0,UNK,25,0,150.0,0,150.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Eva Lys,Suzan Lamens,6-2 6-2,Round Robin Day 3 ,100,2026-03-04,0,0,0,0,0,0,R,185.0,UNK,25,0,0,0,R,185.0,UNK,25,0,150.0,0,150.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Alexander Zverev,Tallon Griekspoor,7-5 6-0,Round Robin Day 3 ,100,2026-03-04,0,0,0,0,0,0,R,198.0,GER,29,0,0,0,R,188.0,NED,30,0,4.0,0,25.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Sebastian Baez,Taylor Fritz,4-6 7-5 6-4,Round Robin Day 2 ,100,2026-03-04,0,0,0,0,0,0,R,170.0,ARG,26,0,0,0,R,196.0,USA,29,0,53.0,0,7.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Coco Gauff,Solana Sierra,6-1 6-1,Round Robin Day 2 ,100,2026-03-04,0,0,0,0,0,0,R,185.0,UNK,25,0,0,0,R,185.0,UNK,25,0,150.0,0,150.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Storm Hunter,Malene Helgo,6-2 7-6,Round Robin Day 2 ,100,2026-03-04,0,0,0,0,0,0,R,185.0,UNK,25,0,0,0,R,185.0,UNK,25,0,150.0,0,150.0,0,9.9,1.13
2026-perth-sydney-0,perth-sydney,Hard,20260102,Casper Ruud,Alex de Minaur,6-3 6-3,Round Robin Day 2 ,100,2026-03-04,0,0,0,0,0,0,R,183.0,NOR,28,0,0,0,R,185.0,UNK,25,0,13.0,0,150.0,0,9.9,1.13
