tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2022-1210,Buenos Aires CH,Clay,32,C,20220620,300,207681,3.0,,Francisco Comesana,R,178.0,ARG,21.7,200335,2.0,,Felipe Meligeni Alves,R,185.0,BRA,24.3,6-3 6-2,3,SF,78.0,2.0,0.0,48.0,34.0,25.0,12.0,9.0,0.0,0.0,0.0,1.0,58.0,44.0,24.0,7.0,8.0,2.0,5.0,239.0,221.0,213.0,271.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,299,208363,,,Mariano Navone,R,178.0,ARG,21.3,126663,1.0,,Juan Pablo Ficovich,R,191.0,ARG,25.4,3-6 6-0 6-3,3,QF,131.0,1.0,1.0,89.0,61.0,41.0,14.0,12.0,9.0,11.0,1.0,1.0,86.0,58.0,35.0,10.0,12.0,10.0,15.0,433.0,91.0,168.0,335.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,298,104291,7.0,,Malek Jaziri,R,185.0,TUN,38.4,106380,4.0,,Gonzalo Villanueva,R,175.0,ARG,27.4,6-2 1-6 6-3,3,QF,97.0,1.0,3.0,70.0,42.0,27.0,15.0,12.0,0.0,4.0,0.0,0.0,72.0,55.0,35.0,5.0,12.0,3.0,8.0,324.0,141.0,291.0,168.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,297,207681,3.0,,Francisco Comesana,R,178.0,ARG,21.7,207736,,,Arklon Huertas Del Pino,R,183.0,PER,27.9,6-2 6-1,3,QF,60.0,1.0,0.0,44.0,35.0,25.0,6.0,8.0,3.0,4.0,1.0,2.0,47.0,33.0,15.0,5.0,7.0,4.0,9.0,239.0,221.0,523.0,61.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,296,200335,2.0,,Felipe Meligeni Alves,R,185.0,BRA,24.3,206307,,,Joao Lucas Reis Da Silva,R,178.0,BRA,22.2,6-4 6-2,3,QF,73.0,0.0,0.0,53.0,30.0,23.0,14.0,9.0,3.0,4.0,0.0,0.0,52.0,39.0,19.0,7.0,9.0,2.0,6.0,213.0,271.0,492.0,72.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,295,126663,1.0,,Juan Pablo Ficovich,R,191.0,ARG,25.4,200030,,,Facundo Juarez,R,180.0,ITA,24.7,6-1 6-1,3,R16,71.0,1.0,0.0,48.0,33.0,20.0,11.0,7.0,6.0,7.0,0.0,3.0,54.0,41.0,16.0,5.0,7.0,6.0,12.0,168.0,335.0,341.0,128.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,294,208363,,,Mariano Navone,R,178.0,ARG,21.3,200572,6.0,,Nick Hardt,R,185.0,DOM,21.7,6-1 4-6 6-0,3,R16,118.0,0.0,1.0,80.0,59.0,37.0,10.0,12.0,7.0,11.0,0.0,4.0,75.0,43.0,18.0,12.0,11.0,7.0,15.0,433.0,91.0,300.0,163.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,293,106380,4.0,,Gonzalo Villanueva,R,175.0,ARG,27.4,105819,,Q,Guido Andreozzi,R,183.0,ARG,30.8,7-6(3) 6-2,3,R16,97.0,1.0,1.0,65.0,41.0,25.0,16.0,10.0,1.0,3.0,2.0,4.0,71.0,42.0,26.0,12.0,10.0,5.0,9.0,291.0,168.0,518.0,62.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,292,104291,7.0,,Malek Jaziri,R,185.0,TUN,38.4,111508,,Q,Juan Ignacio Galarza,R,183.0,ARG,28.2,7-6(8) 7-6(6),3,R16,126.0,2.0,2.0,89.0,45.0,36.0,23.0,12.0,1.0,2.0,3.0,5.0,88.0,60.0,45.0,14.0,12.0,2.0,3.0,324.0,141.0,752.0,24.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,291,207736,,,Arklon Huertas Del Pino,R,183.0,PER,27.9,138485,,,Conner Huertas Del Pino,R,188.0,PER,26.4,6-4 1-6 6-4,3,R16,143.0,1.0,1.0,88.0,37.0,25.0,23.0,13.0,4.0,9.0,0.0,2.0,95.0,65.0,38.0,16.0,14.0,10.0,15.0,523.0,61.0,541.0,57.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,290,207681,3.0,,Francisco Comesana,R,178.0,ARG,21.7,202106,,WC,Juan Bautista Otegui,R,191.0,ARG,23.3,7-5 6-2,3,R16,101.0,1.0,1.0,63.0,41.0,25.0,12.0,10.0,4.0,8.0,0.0,6.0,57.0,35.0,19.0,4.0,10.0,2.0,9.0,239.0,221.0,613.0,40.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,289,206307,,,Joao Lucas Reis Da Silva,R,178.0,BRA,22.2,105933,5.0,,Roberto Quiroz,L,193.0,ECU,30.3,4-6 6-1 6-2,3,R16,121.0,1.0,2.0,89.0,70.0,47.0,8.0,13.0,4.0,7.0,1.0,3.0,83.0,56.0,31.0,12.0,12.0,5.0,11.0,492.0,72.0,301.0,161.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,288,200335,2.0,,Felipe Meligeni Alves,R,185.0,BRA,24.3,106352,,,Matias Franco Descotte,R,191.0,ARG,27.8,6-3 6-2,3,R16,67.0,2.0,0.0,48.0,34.0,24.0,10.0,9.0,2.0,3.0,1.0,4.0,48.0,28.0,17.0,6.0,8.0,2.0,6.0,213.0,271.0,472.0,79.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,287,126663,1.0,,Juan Pablo Ficovich,R,191.0,ARG,25.4,123961,,,Murkel Alejandro Dellien Velasco,R,193.0,BOL,24.7,6-7(5) 6-4 7-6(2),3,R32,185.0,6.0,1.0,119.0,84.0,52.0,24.0,17.0,7.0,11.0,2.0,5.0,126.0,81.0,51.0,25.0,17.0,5.0,10.0,168.0,335.0,387.0,108.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,286,200030,,,Facundo Juarez,R,180.0,ITA,24.7,208078,,Q,Tomas Farjat,R,188.0,ARG,21.3,6-0 6-4,3,R32,63.0,0.0,4.0,50.0,40.0,28.0,3.0,8.0,3.0,4.0,2.0,4.0,55.0,29.0,15.0,9.0,8.0,2.0,7.0,341.0,128.0,641.0,36.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,285,208363,,,Mariano Navone,R,178.0,ARG,21.3,209254,,WC,Valerio Aboian,L,183.0,ARG,20.0,6-4 3-6 6-3,3,R32,131.0,0.0,0.0,81.0,50.0,29.0,16.0,14.0,4.0,9.0,1.0,0.0,87.0,59.0,34.0,12.0,14.0,4.0,10.0,433.0,91.0,561.0,52.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,284,200572,6.0,,Nick Hardt,R,185.0,DOM,21.7,202275,,Q,Fermin Tenti,R,181.0,ARG,25.0,6-1 6-1,3,R32,61.0,1.0,3.0,37.0,21.0,18.0,8.0,7.0,0.0,1.0,0.0,1.0,44.0,32.0,12.0,2.0,7.0,1.0,7.0,300.0,163.0,681.0,32.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,283,106380,4.0,,Gonzalo Villanueva,R,175.0,ARG,27.4,200331,,Q,Leonardo Aboian,L,175.0,ARG,24.1,6-4 1-6 6-1,3,R32,123.0,0.0,4.0,91.0,53.0,32.0,20.0,12.0,10.0,14.0,5.0,2.0,71.0,44.0,24.0,11.0,12.0,7.0,12.0,291.0,168.0,665.0,34.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,282,105819,,Q,Guido Andreozzi,R,183.0,ARG,30.8,200632,,,Evan Zhu,R,185.0,USA,23.8,6-1 7-5,3,R32,78.0,0.0,2.0,58.0,37.0,29.0,9.0,9.0,2.0,3.0,1.0,4.0,62.0,38.0,20.0,11.0,10.0,3.0,8.0,518.0,62.0,381.0,109.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,281,111508,,Q,Juan Ignacio Galarza,R,183.0,ARG,28.2,105868,,,Wilson Leite,R,178.0,BRA,30.6,7-6(2) 6-3,3,R32,129.0,2.0,2.0,79.0,55.0,33.0,12.0,11.0,5.0,9.0,3.0,1.0,85.0,59.0,32.0,10.0,10.0,9.0,14.0,752.0,24.0,502.0,68.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,280,104291,7.0,,Malek Jaziri,R,185.0,TUN,38.4,208882,,,Roman Andres Burruchaga,R,183.0,ARG,20.4,6-4 0-6 7-5,3,R32,114.0,7.0,1.0,86.0,40.0,20.0,29.0,14.0,9.0,14.0,1.0,0.0,86.0,66.0,40.0,12.0,14.0,3.0,7.0,324.0,141.0,350.0,121.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,279,207736,,,Arklon Huertas Del Pino,R,183.0,PER,27.9,200711,,,Nicolas Mejia,R,183.0,COL,22.3,6-0 6-1,3,R32,64.0,0.0,1.0,31.0,12.0,12.0,10.0,6.0,2.0,3.0,1.0,0.0,54.0,27.0,9.0,10.0,7.0,3.0,10.0,523.0,61.0,333.0,132.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,278,138485,,,Conner Huertas Del Pino,R,188.0,PER,26.4,105529,,,Carlos Gomez Herrera,R,191.0,ESP,32.1,6-1 3-6 7-5,3,R32,130.0,6.0,1.0,79.0,50.0,33.0,18.0,14.0,3.0,6.0,1.0,4.0,90.0,63.0,42.0,11.0,14.0,9.0,14.0,541.0,57.0,512.0,64.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,277,202106,,WC,Juan Bautista Otegui,R,191.0,ARG,23.3,111788,,Q,Naoki Nakagawa,R,180.0,JPN,25.5,6-4 6-2,3,R32,93.0,6.0,5.0,48.0,35.0,27.0,5.0,9.0,1.0,3.0,2.0,2.0,68.0,34.0,20.0,11.0,9.0,12.0,17.0,613.0,40.0,498.0,70.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,276,207681,3.0,,Francisco Comesana,R,178.0,ARG,21.7,126190,,,Nicolas Alvarez,R,185.0,PER,26.0,6-2 6-7(4) 6-3,3,R32,131.0,1.0,1.0,91.0,70.0,51.0,10.0,15.0,4.0,6.0,3.0,2.0,87.0,54.0,36.0,15.0,14.0,3.0,8.0,239.0,221.0,366.0,116.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,275,105933,5.0,,Roberto Quiroz,L,193.0,ECU,30.3,133820,,Alt,Ignacio Monzon,R,173.0,ARG,24.4,6-1 6-4,3,R32,73.0,1.0,1.0,55.0,39.0,28.0,10.0,9.0,1.0,2.0,1.0,3.0,49.0,37.0,17.0,5.0,8.0,2.0,6.0,301.0,161.0,563.0,52.0
2022-1210,Buenos Aires CH,Clay,32,C,20220620,274,206307,,,Joao Lucas Reis Da Silva,R,178.0,BRA,22.2,209875,,WC,Alex Barrena,R,175.0,ARG,19.6,6-3 1-6 6-4,3,R32,124.0,2.0,0.0,86.0,60.0,36.0,16.0,13.0,8.0,12.0,2.0,1.0,88.0,65.0,39.0,12.0,13.0,10.0,14.0,492.0,72.0,951.0,12.0
2022-9514,Oeiras CH,Clay,32,C,20220620,240,121264,,,Oscar Jose Gutierrez,R,170.0,BRA,29.1,200075,5.0,,Yshai Oliel,L,188.0,ISR,22.4,6-3 7-6(5),3,Q1,138.0,1.0,4.0,84.0,56.0,35.0,11.0,10.0,9.0,12.0,4.0,5.0,86.0,61.0,36.0,9.0,11.0,7.0,12.0,411.0,99.0,346.0,123.0
2022-9514,Oeiras CH,Clay,32,C,20220620,239,144918,,,Edoardo Lavagno,L,185.0,ITA,23.8,202090,7.0,,Adrian Andreev,R,175.0,BUL,21.1,6-2 4-6 6-2,3,Q1,128.0,0.0,4.0,84.0,61.0,37.0,12.0,13.0,11.0,15.0,1.0,3.0,88.0,52.0,27.0,13.0,13.0,4.0,11.0,394.0,104.0,357.0,119.0
2022-9514,Oeiras CH,Clay,32,C,20220620,238,123809,6.0,,Ivan Gakhov,L,191.0,RUS,25.6,126878,,,David Poljak,R,188.0,CZE,26.0,3-6 7-6(2) 7-6(4),3,Q1,171.0,7.0,3.0,118.0,65.0,50.0,27.0,16.0,5.0,8.0,4.0,5.0,113.0,75.0,57.0,17.0,17.0,5.0,7.0,361.0,119.0,404.0,101.0
2022-9514,Oeiras CH,Clay,32,C,20220620,237,200247,11.0,,Alexandar Lazarov,R,191.0,BUL,24.6,200672,,,Sergey Fomin,R,180.0,UZB,21.3,6-1 4-1 RET,3,Q1,59.0,2.0,3.0,35.0,18.0,16.0,9.0,6.0,1.0,1.0,0.0,2.0,50.0,22.0,12.0,11.0,6.0,3.0,7.0,380.0,109.0,402.0,101.0
2022-3463,Milan CH,Clay,32,C,20220620,284,209260,7.0,,Luciano Darderi,R,183.0,ITA,20.3,105438,,Q,Inigo Cervantes Huegun,R,180.0,ESP,32.5,4-6 6-3 3-0 RET,3,R32,126.0,3.0,2.0,62.0,33.0,22.0,17.0,11.0,1.0,4.0,9.0,2.0,79.0,33.0,23.0,19.0,11.0,9.0,14.0,235.0,236.0,1676.0,2.0
2022-3463,Milan CH,Clay,32,C,20220620,283,208278,,LL,Shintaro Mochizuki,R,175.0,JPN,19.0,208343,,Q,Andrew Paulson,R,191.0,CZE,20.5,6-0 6-1,3,R32,64.0,3.0,3.0,52.0,32.0,21.0,12.0,6.0,10.0,10.0,1.0,4.0,40.0,21.0,10.0,2.0,7.0,4.0,10.0,386.0,108.0,426.0,94.0
2022-3463,Milan CH,Clay,32,C,20220620,282,208189,,WC,Gianmarco Ferrari,L,191.0,ITA,21.7,126125,,,Maxime Janvier,R,196.0,FRA,25.6,1-6 7-6(5) 6-3,3,R32,132.0,6.0,11.0,95.0,43.0,30.0,26.0,15.0,1.0,6.0,10.0,6.0,90.0,45.0,33.0,23.0,13.0,6.0,9.0,578.0,47.0,289.0,169.0
2022-3463,Milan CH,Clay,32,C,20220620,281,200216,,Q,Giovanni Fonio,R,183.0,ITA,24.1,200188,,Alt,Matteo Martineau,R,183.0,FRA,23.4,6-3 7-6(6),3,R32,102.0,0.0,4.0,70.0,41.0,27.0,19.0,11.0,2.0,4.0,4.0,5.0,61.0,32.0,24.0,15.0,10.0,2.0,5.0,457.0,84.0,375.0,113.0
2022-3463,Milan CH,Clay,32,C,20220620,280,207686,5.0,,Alexander Shevchenko,R,185.0,KAZ,21.5,105060,,Alt,Aldin Setkic,R,191.0,BIH,34.4,6-1 6-2,3,R32,73.0,3.0,0.0,57.0,41.0,28.0,8.0,8.0,3.0,4.0,1.0,3.0,40.0,27.0,15.0,2.0,7.0,1.0,6.0,173.0,322.0,363.0,118.0
2022-3463,Milan CH,Clay,32,C,20220620,279,208859,8.0,,Francesco Passaro,R,180.0,ITA,21.4,207660,,Alt,Nicholas David Ionel,R,,ROU,19.6,6-0 6-4,3,R32,69.0,0.0,0.0,40.0,20.0,17.0,14.0,8.0,0.0,1.0,0.0,4.0,51.0,31.0,13.0,9.0,8.0,4.0,9.0,254.0,206.0,307.0,155.0
2022-3463,Milan CH,Clay,32,C,20220620,278,200008,,,Alexis Galarneau,R,180.0,CAN,23.3,206467,,Q,Federico Arnaboldi,R,185.0,ITA,22.0,6-1 6-3,3,R32,75.0,1.0,0.0,41.0,18.0,16.0,17.0,8.0,0.0,0.0,2.0,2.0,51.0,27.0,15.0,11.0,8.0,3.0,7.0,294.0,165.0,592.0,44.0
2022-3463,Milan CH,Clay,32,C,20220620,300,105948,1.0,,Federico Coria,R,180.0,ARG,30.2,207686,5.0,,Alexander Shevchenko,R,185.0,KAZ,21.5,6-4 6-1,3,SF,84.0,0.0,1.0,53.0,39.0,25.0,8.0,8.0,6.0,8.0,0.0,0.0,54.0,35.0,13.0,8.0,9.0,4.0,10.0,70.0,808.0,173.0,322.0
2022-3463,Milan CH,Clay,32,C,20220620,299,105948,1.0,,Federico Coria,R,180.0,ARG,30.2,209260,7.0,,Luciano Darderi,R,183.0,ITA,20.3,6-2 4-0 RET,3,QF,70.0,0.0,2.0,40.0,24.0,17.0,12.0,6.0,3.0,3.0,1.0,1.0,41.0,20.0,12.0,7.0,6.0,2.0,6.0,70.0,808.0,235.0,236.0
2022-3463,Milan CH,Clay,32,C,20220620,298,207686,5.0,,Alexander Shevchenko,R,185.0,KAZ,21.5,208278,,LL,Shintaro Mochizuki,R,175.0,JPN,19.0,6-3 6-1,3,QF,77.0,1.0,1.0,54.0,41.0,24.0,11.0,8.0,4.0,5.0,0.0,9.0,53.0,18.0,10.0,13.0,8.0,4.0,9.0,173.0,322.0,386.0,108.0
2022-3463,Milan CH,Clay,32,C,20220620,297,208859,8.0,,Francesco Passaro,R,180.0,ITA,21.4,126340,,,Viktor Durasovic,R,185.0,NOR,25.2,6-1 6-1,3,QF,62.0,1.0,0.0,43.0,29.0,23.0,9.0,7.0,1.0,1.0,1.0,2.0,53.0,33.0,15.0,8.0,7.0,7.0,12.0,254.0,206.0,315.0,148.0
2022-3463,Milan CH,Clay,32,C,20220620,296,206681,,Q,Fabian Marozsan,R,193.0,HUN,22.6,209263,,,Matteo Gigante,L,180.0,ITA,20.4,7-6(5) 6-2,3,QF,85.0,1.0,3.0,63.0,39.0,22.0,19.0,10.0,1.0,2.0,2.0,2.0,73.0,48.0,28.0,13.0,10.0,2.0,5.0,297.0,164.0,322.0,142.0
2022-3463,Milan CH,Clay,32,C,20220620,295,105948,1.0,,Federico Coria,R,180.0,ARG,30.2,106167,,Alt,Joris De Loore,R,191.0,BEL,29.1,6-2 6-0,3,R16,56.0,4.0,1.0,38.0,30.0,23.0,3.0,7.0,0.0,1.0,0.0,0.0,37.0,21.0,9.0,3.0,7.0,2.0,8.0,70.0,808.0,430.0,91.0
2022-3463,Milan CH,Clay,32,C,20220620,294,209260,7.0,,Luciano Darderi,R,183.0,ITA,20.3,105208,,Alt,Ernests Gulbis,R,190.0,LAT,33.8,6-3 4-2 RET,3,R16,79.0,0.0,2.0,48.0,29.0,21.0,9.0,8.0,1.0,2.0,2.0,2.0,47.0,25.0,17.0,6.0,7.0,4.0,7.0,235.0,236.0,362.0,118.0
2022-9514,Oeiras CH,Clay,32,C,20220620,242,123993,4.0,,Lucas Gerch,L,193.0,GER,27.4,210262,,WC,Jaime Faria,R,188.0,POR,18.8,6-3 7-6(2),3,Q1,107.0,1.0,10.0,75.0,42.0,28.0,14.0,10.0,6.0,10.0,0.0,3.0,86.0,54.0,28.0,14.0,11.0,9.0,15.0,365.0,117.0,1150.0,6.0
2022-9514,Oeiras CH,Clay,32,C,20220620,241,208230,10.0,,Alibek Kachmazov,R,185.0,RUS,19.8,208757,,WC,Miguel Gomes,R,191.0,POR,19.2,4-6 6-3 7-6(8),3,Q1,190.0,0.0,4.0,108.0,57.0,34.0,30.0,16.0,7.0,12.0,5.0,10.0,106.0,52.0,32.0,29.0,15.0,7.0,12.0,372.0,114.0,1662.0,2.0
2022-3463,Milan CH,Clay,32,C,20220620,254,206467,,Alt,Federico Arnaboldi,R,185.0,ITA,22.0,105633,,,Mohamed Safwat,R,180.0,EGY,31.7,6-2 4-6 6-2,3,Q2,120.0,2.0,1.0,75.0,43.0,27.0,21.0,13.0,4.0,7.0,1.0,5.0,81.0,47.0,31.0,14.0,13.0,2.0,8.0,592.0,44.0,570.0,49.0
2022-3463,Milan CH,Clay,32,C,20220620,253,106290,8.0,,Filip Peliwo,R,180.0,POL,28.3,208278,3.0,,Shintaro Mochizuki,R,175.0,JPN,19.0,6-2 1-6 6-4,3,Q2,122.0,1.0,4.0,85.0,42.0,26.0,22.0,12.0,9.0,13.0,3.0,15.0,87.0,42.0,32.0,17.0,13.0,8.0,13.0,459.0,84.0,386.0,108.0
2022-3463,Milan CH,Clay,32,C,20220620,252,200216,10.0,,Giovanni Fonio,R,183.0,ITA,24.1,209385,4.0,,Samuel Vincent Ruggeri,R,191.0,ITA,20.0,7-5 6-0,3,Q2,81.0,4.0,1.0,58.0,31.0,22.0,16.0,9.0,3.0,4.0,4.0,7.0,66.0,42.0,23.0,7.0,9.0,5.0,10.0,457.0,84.0,398.0,103.0
2022-3463,Milan CH,Clay,32,C,20220620,251,208343,5.0,,Andrew Paulson,R,191.0,CZE,20.5,132831,11.0,,Giovanni Oradini,L,188.0,ITA,24.7,6-2 6-0,3,Q2,66.0,3.0,4.0,41.0,22.0,17.0,13.0,7.0,2.0,2.0,0.0,6.0,37.0,14.0,6.0,9.0,7.0,4.0,9.0,426.0,94.0,476.0,78.0
2022-3463,Milan CH,Clay,32,C,20220620,250,105438,,PR,Inigo Cervantes Huegun,R,180.0,ESP,32.5,109640,,Alt,Andrea Basso,L,,ITA,28.6,6-3 7-5,3,Q2,99.0,5.0,3.0,63.0,33.0,27.0,18.0,11.0,4.0,5.0,4.0,6.0,63.0,36.0,24.0,13.0,10.0,3.0,6.0,1676.0,2.0,655.0,35.0
2022-3463,Milan CH,Clay,32,C,20220620,249,206681,1.0,,Fabian Marozsan,R,193.0,HUN,22.6,106165,,Alt,Diego Hidalgo,L,180.0,ECU,29.1,3-6 7-5 6-2,3,Q1,103.0,4.0,6.0,79.0,46.0,35.0,17.0,14.0,2.0,5.0,3.0,7.0,95.0,49.0,34.0,21.0,15.0,6.0,11.0,297.0,164.0,682.0,31.0
2022-3463,Milan CH,Clay,32,C,20220620,248,206662,7.0,,Georgii Kravchenko,R,180.0,UKR,21.8,126464,,WC,Giorgio Ricca,R,193.0,ITA,27.3,6-4 6-3,3,Q1,96.0,4.0,6.0,64.0,43.0,32.0,12.0,9.0,3.0,3.0,0.0,6.0,62.0,45.0,30.0,6.0,10.0,6.0,9.0,415.0,98.0,1021.0,10.0
2022-3463,Milan CH,Clay,32,C,20220620,293,208278,,LL,Shintaro Mochizuki,R,175.0,JPN,19.0,208189,,WC,Gianmarco Ferrari,L,191.0,ITA,21.7,6-4 4-6 6-2,3,R16,138.0,1.0,6.0,91.0,49.0,36.0,17.0,14.0,4.0,7.0,4.0,7.0,110.0,69.0,42.0,16.0,14.0,13.0,18.0,386.0,108.0,578.0,47.0
2022-3463,Milan CH,Clay,32,C,20220620,292,207686,5.0,,Alexander Shevchenko,R,185.0,KAZ,21.5,200216,,Q,Giovanni Fonio,R,183.0,ITA,24.1,6-3 7-6(3),3,R16,101.0,2.0,1.0,62.0,28.0,18.0,19.0,10.0,1.0,4.0,1.0,4.0,72.0,37.0,20.0,15.0,11.0,1.0,6.0,173.0,322.0,457.0,84.0
2022-3463,Milan CH,Clay,32,C,20220620,291,208859,8.0,,Francesco Passaro,R,180.0,ITA,21.4,200008,,,Alexis Galarneau,R,180.0,CAN,23.3,6-1 6-3,3,R16,86.0,3.0,1.0,47.0,26.0,18.0,13.0,8.0,3.0,4.0,3.0,2.0,62.0,35.0,18.0,9.0,8.0,9.0,14.0,254.0,206.0,294.0,165.0
2022-3463,Milan CH,Clay,32,C,20220620,290,126340,,,Viktor Durasovic,R,185.0,NOR,25.2,134840,,,Raul Brancaccio,R,185.0,ITA,25.1,4-6 6-1 6-4,3,R16,119.0,2.0,4.0,75.0,44.0,34.0,21.0,14.0,2.0,3.0,2.0,6.0,99.0,60.0,40.0,16.0,13.0,6.0,9.0,315.0,148.0,325.0,141.0
2022-3463,Milan CH,Clay,32,C,20220620,289,209263,,,Matteo Gigante,L,180.0,ITA,20.4,106065,6.0,,Marco Cecchinato,R,185.0,ITA,29.7,7-6(3) 6-1,3,R16,101.0,3.0,1.0,64.0,37.0,31.0,12.0,10.0,4.0,6.0,1.0,2.0,68.0,36.0,21.0,12.0,9.0,1.0,5.0,322.0,142.0,171.0,325.0
2022-3463,Milan CH,Clay,32,C,20220620,288,206681,,Q,Fabian Marozsan,R,193.0,HUN,22.6,106072,,,Alexey Vatutin,R,178.0,RUS,29.6,6-2 6-3,3,R16,86.0,4.0,1.0,88.0,65.0,39.0,15.0,9.0,9.0,10.0,0.0,3.0,62.0,47.0,25.0,6.0,8.0,8.0,12.0,297.0,164.0,293.0,166.0
2022-3463,Milan CH,Clay,32,C,20220620,287,105948,1.0,,Federico Coria,R,180.0,ARG,30.2,106353,,,Pedja Krstin,R,183.0,SRB,27.7,6-1 6-1,3,R32,42.0,7.0,3.0,33.0,21.0,20.0,8.0,7.0,0.0,0.0,1.0,4.0,35.0,17.0,9.0,3.0,7.0,2.0,7.0,70.0,808.0,369.0,115.0
2022-3463,Milan CH,Clay,32,C,20220620,286,106167,,Alt,Joris De Loore,R,191.0,BEL,29.1,104898,,,Robin Haase,R,191.0,NED,35.2,6-1 2-0 RET,3,R32,37.0,3.0,2.0,26.0,17.0,16.0,5.0,5.0,0.0,0.0,0.0,1.0,26.0,13.0,5.0,6.0,4.0,1.0,4.0,430.0,91.0,256.0,202.0
2022-3463,Milan CH,Clay,32,C,20220620,285,105208,,Alt,Ernests Gulbis,R,190.0,LAT,33.8,109699,,,Julian Lenz,R,188.0,GER,29.3,5-7 7-6(1) 6-4,3,R32,163.0,8.0,14.0,102.0,55.0,36.0,22.0,17.0,5.0,11.0,6.0,7.0,97.0,64.0,42.0,13.0,17.0,3.0,9.0,362.0,118.0,312.0,152.0
2022-3463,Milan CH,Clay,32,C,20220620,246,105633,,,Mohamed Safwat,R,180.0,EGY,31.7,122536,9.0,,Juan Pablo Paz,R,173.0,ARG,27.4,7-6(4) 6-1,3,Q1,85.0,0.0,3.0,63.0,37.0,31.0,16.0,10.0,2.0,2.0,4.0,2.0,53.0,26.0,21.0,14.0,9.0,0.0,2.0,570.0,49.0,453.0,85.0
2022-3463,Milan CH,Clay,32,C,20220620,245,208278,3.0,,Shintaro Mochizuki,R,175.0,JPN,19.0,209164,,WC,Lorenzo Rottoli,R,,ITA,20.3,6-2 6-7(2) 7-5,3,Q1,185.0,5.0,10.0,118.0,54.0,37.0,31.0,16.0,12.0,17.0,7.0,7.0,129.0,63.0,31.0,35.0,16.0,10.0,18.0,386.0,108.0,801.0,20.0
2022-3463,Milan CH,Clay,32,C,20220620,243,209385,4.0,,Samuel Vincent Ruggeri,R,191.0,ITA,20.0,200441,,Alt,Grigoriy Lomakin,R,198.0,KAZ,24.2,6-3 6-2,3,Q1,63.0,3.0,3.0,50.0,29.0,24.0,13.0,9.0,0.0,0.0,1.0,1.0,49.0,40.0,23.0,5.0,8.0,2.0,5.0,398.0,103.0,895.0,15.0
2022-3463,Milan CH,Clay,32,C,20220620,242,200216,10.0,,Giovanni Fonio,R,183.0,ITA,24.1,126442,,Alt,Simone Roncalli,R,,ITA,26.1,4-6 6-2 7-5,3,Q1,146.0,6.0,5.0,87.0,51.0,33.0,19.0,15.0,6.0,11.0,1.0,4.0,103.0,54.0,37.0,17.0,15.0,7.0,14.0,457.0,84.0,555.0,53.0
2022-3463,Milan CH,Clay,32,C,20220620,241,208343,5.0,,Andrew Paulson,R,191.0,CZE,20.5,207601,,Alt,Manuel Mazza,R,178.0,ITA,23.1,6-0 6-3,3,Q1,66.0,2.0,2.0,44.0,19.0,18.0,17.0,8.0,1.0,1.0,1.0,2.0,44.0,22.0,12.0,7.0,7.0,2.0,6.0,426.0,94.0,646.0,35.0
2022-3463,Milan CH,Clay,32,C,20220620,239,109640,,Alt,Andrea Basso,L,,ITA,28.6,209322,6.0,,Martin Krumich,R,188.0,CZE,19.4,7-6(4) 7-6(3),3,Q1,133.0,2.0,4.0,82.0,53.0,30.0,16.0,12.0,4.0,9.0,6.0,5.0,87.0,53.0,34.0,11.0,12.0,4.0,9.0,655.0,35.0,434.0,91.0
