tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2022-7841,Bendigo CH,Hard,64,C,20220103,240,106057,,,Facundo Mena,R,183.0,ARG,29.2,202354,,Q,Matthew Dellavedova,R,191.0,AUS,21.5,6-2 6-1,3,R64,72.0,8.0,1.0,44.0,29.0,20.0,10.0,7.0,1.0,2.0,1.0,3.0,61.0,42.0,19.0,7.0,8.0,4.0,10.0,209.0,308.0,1542.0,3.0
2022-7841,Bendigo CH,Hard,64,C,20220103,243,200116,,,Camilo Ugo Carabelli,R,185.0,ARG,22.5,106034,,,Yasutaka Uchiyama,R,183.0,JPN,29.4,6-4 6-4,3,R64,91.0,4.0,3.0,63.0,40.0,30.0,15.0,10.0,4.0,4.0,5.0,2.0,59.0,37.0,27.0,9.0,10.0,1.0,3.0,213.0,301.0,203.0,321.0
2022-6865,Traralgon CH,Hard,64,C,20220103,276,106293,11.0,,Kimmer Coppejans,R,178.0,BEL,27.9,106398,,,Pedro Cachin,R,185.0,ARG,26.7,6-7(9) 7-6(3) 6-3,3,R32,144.0,3.0,3.0,106.0,72.0,50.0,18.0,16.0,2.0,5.0,15.0,2.0,105.0,82.0,54.0,11.0,17.0,1.0,6.0,208.0,313.0,245.0,254.0
2022-6865,Traralgon CH,Hard,64,C,20220103,277,106283,6.0,,Mitchell Krueger,R,188.0,USA,27.9,207608,,,Timofey Skatov,R,175.0,KAZ,20.9,6-1 6-0,3,R32,64.0,1.0,1.0,34.0,21.0,19.0,7.0,6.0,1.0,1.0,1.0,0.0,52.0,40.0,15.0,6.0,7.0,3.0,9.0,169.0,404.0,257.0,238.0
2022-6865,Traralgon CH,Hard,64,C,20220103,278,105062,8.0,,Mikhail Kukushkin,R,183.0,KAZ,34.0,133297,,,Yosuke Watanuki,R,180.0,JPN,23.7,7-6(4) 6-1,3,R32,95.0,3.0,1.0,69.0,40.0,30.0,13.0,10.0,5.0,8.0,3.0,0.0,60.0,40.0,23.0,9.0,9.0,4.0,9.0,182.0,366.0,266.0,223.0
2022-6865,Traralgon CH,Hard,64,C,20220103,279,144817,9.0,,Marc Andrea Huesler,L,196.0,SUI,25.5,208013,,,Dane Sweeny,R,170.0,AUS,20.8,6-4 6-2,3,R32,72.0,2.0,0.0,41.0,30.0,24.0,8.0,9.0,0.0,1.0,1.0,3.0,58.0,43.0,22.0,7.0,9.0,4.0,8.0,186.0,357.0,497.0,71.0
2022-6865,Traralgon CH,Hard,64,C,20220103,280,117361,,,Akira Santillan,R,180.0,AUS,24.6,126663,16.0,,Juan Pablo Ficovich,R,191.0,ARG,24.9,6-0 6-1,3,R32,42.0,2.0,1.0,36.0,26.0,22.0,6.0,7.0,0.0,0.0,1.0,1.0,32.0,18.0,8.0,3.0,6.0,1.0,6.0,335.0,144.0,236.0,267.0
2022-6865,Traralgon CH,Hard,64,C,20220103,281,207830,4.0,,Tomas Machac,R,183.0,CZE,21.2,208004,,,Harold Mayot,R,180.0,FRA,19.9,6-2 4-6 4-1 RET,3,R32,143.0,3.0,1.0,80.0,58.0,39.0,11.0,11.0,4.0,6.0,2.0,4.0,86.0,51.0,26.0,20.0,12.0,12.0,17.0,143.0,477.0,419.0,95.0
2022-6865,Traralgon CH,Hard,64,C,20220103,282,200670,7.0,,J J Wolf,R,183.0,USA,23.0,104424,,,Go Soeda,R,178.0,JPN,37.3,6-2 4-6 6-4,3,R32,188.0,8.0,3.0,114.0,72.0,48.0,23.0,14.0,10.0,11.0,3.0,2.0,102.0,64.0,37.0,23.0,14.0,14.0,17.0,174.0,390.0,247.0,253.0
2022-6865,Traralgon CH,Hard,64,C,20220103,283,207411,12.0,,Jesper De Jong,R,180.0,NED,21.5,208502,,,Dominic Stricker,L,183.0,SUI,19.3,7-5 6-2,3,R32,84.0,3.0,1.0,62.0,40.0,32.0,9.0,10.0,5.0,6.0,5.0,7.0,73.0,39.0,24.0,16.0,10.0,5.0,9.0,226.0,285.0,246.0,253.0
2022-6865,Traralgon CH,Hard,64,C,20220103,284,144972,15.0,,Geoffrey Blancaneaux,R,180.0,FRA,23.4,126964,,,Vitaliy Sachko,R,188.0,UKR,24.4,7-5 7-6(5),3,R32,120.0,4.0,1.0,71.0,53.0,40.0,8.0,12.0,3.0,5.0,1.0,0.0,80.0,57.0,36.0,12.0,12.0,5.0,8.0,235.0,271.0,244.0,254.0
