player,rank,points,url_perfil
O. Tarvet,332,150,https://www.atptour.com/en/players/oliver-tarvet/t0gr/overview
S. Kwon,333,150,https://www.atptour.com/en/players/soonwoo-kwon/kf17/overview
D. Stricker,334,150,https://www.atptour.com/en/players/dominic-stricker/s0la/overview
S. Cuenin,335,149,https://www.atptour.com/en/players/sean-cuenin/c0jx/overview
S. Fomin,336,148,https://www.atptour.com/en/players/sergey-fomin/f0a3/overview
P. Bar Biryukov,337,148,https://www.atptour.com/en/players/petr-bar-biryukov/b0lq/overview
C. Hemery,338,147,https://www.atptour.com/en/players/calvin-hemery/hb48/overview
N. Kicker,339,146,https://www.atptour.com/en/players/nicolas-kicker/kc29/overview
T. Daniel,340,144,https://www.atptour.com/en/players/taro-daniel/da81/overview
A. Rybakov,341,144,https://www.atptour.com/en/players/alex-rybakov/rg42/overview
M. Erhard,342,144,https://www.atptour.com/en/players/mathys-erhard/e0ac/overview
H. Habib,343,143,https://www.atptour.com/en/players/hady-habib/hf80/overview
T. Paris,344,143,https://www.atptour.com/en/players/tom-paris/p0gn/overview
I. Montes-De La Torre,345,142,https://www.atptour.com/en/players/inaki-montes-de-la-torre/m0nl/overview
M. Polmans,346,142,https://www.atptour.com/en/players/marc-polmans/pg94/overview
C. Sanchez Jover,347,142,https://www.atptour.com/en/players/carlos-sanchez-jover/s0cg/overview
A. Ilagan,348,142,https://www.atptour.com/en/players/andre-ilagan/i0b0/overview
J. Trotter,349,141,https://www.atptour.com/en/players/james-trotter/t0bw/overview
M. Ribecai,350,140,https://www.atptour.com/en/players/michele-ribecai/r0jw/overview
F. Andaloro,351,139,https://www.atptour.com/en/players/fabrizio-andaloro/a0f3/overview
I. Xilas,352,139,https://www.atptour.com/en/players/ioannis-xilas/x01c/overview
B. Zhukayev,353,137,https://www.atptour.com/en/players/beibit-zhukayev/z09z/overview
E. Ribeiro,354,137,https://www.atptour.com/en/players/eduardo-ribeiro/r09v/overview
J. La Serna,355,136,https://www.atptour.com/en/players/juan-manuel-la-serna/l0gr/overview
O. Prihodko,356,136,https://www.atptour.com/en/players/oleg-prihodko/pl64/overview
M. Pucinelli De Almeida,357,136,https://www.atptour.com/en/players/matheus-pucinelli-de-almeida/p0df/overview
T. Wu,358,136,https://www.atptour.com/en/players/tung-lin-wu/w857/overview
B. Gadamauri,359,136,https://www.atptour.com/en/players/buvaysar-gadamauri/g0cv/overview
G. Piraino,360,135,https://www.atptour.com/en/players/gabriele-piraino/p0i6/overview
P. Sekulic,361,134,https://www.atptour.com/en/players/philip-sekulic/s0ti/overview
F. Broska,362,133,https://www.atptour.com/en/players/florian-broska/b0c5/overview
S. Shin,363,132,https://www.atptour.com/en/players/sanhui-shin/s09p/overview
A. Gray,364,131,https://www.atptour.com/en/players/alastair-gray/g0ao/overview
M. Brunold,365,131,https://www.atptour.com/en/players/mika-brunold/b0lw/overview
H. Matsuoka,366,131,https://www.atptour.com/en/players/hayato-matsuoka/m0sc/overview
D. Dutra da Silva,367,131,https://www.atptour.com/en/players/daniel-dutra-da-silva/sg56/overview
G. Johns,368,131,https://www.atptour.com/en/players/garrett-johns/j0b5/overview
D. Masur,369,130,https://www.atptour.com/en/players/daniel-masur/mn20/overview
C. Cretu,370,130,https://www.atptour.com/en/players/cezar-cretu/c0b2/overview
M. Alkaya,371,130,https://www.atptour.com/en/players/mert-alkaya/a09q/overview
D. Milavsky,372,130,https://www.atptour.com/en/players/daniel-milavsky/m0rg/overview
Y. Shimizu,373,129,https://www.atptour.com/en/players/yuta-shimizu/s0aq/overview
F. Romano,374,129,https://www.atptour.com/en/players/filippo-romano/r0hk/overview
C. Caniato,375,129,https://www.atptour.com/en/players/carlo-alberto-caniato/c0lk/overview
J. Barranco Cosano,376,128,https://www.atptour.com/en/players/javier-barranco-cosano/bv25/overview
B. Bicknell,377,128,https://www.atptour.com/en/players/blaise-bicknell/b0i5/overview
M. Alcala Gurri,378,128,https://www.atptour.com/en/players/max-alcala-gurri/a0ea/overview
R. Brancaccio,379,128,https://www.atptour.com/en/players/raul-brancaccio/bv24/overview
D. Jorda Sanchis,380,127,https://www.atptour.com/en/players/david-jorda-sanchis/j476/overview
G. Villanueva,381,127,https://www.atptour.com/en/players/gonzalo-villanueva/v821/overview
A. Guerrieri,382,126,https://www.atptour.com/en/players/andrea-guerrieri/g0a0/overview
M. Sharipov,383,126,https://www.atptour.com/en/players/marat-sharipov/s0mn/overview
R. Gasquet,384,125,https://www.atptour.com/en/players/richard-gasquet/g628/overview
A. Soriano Barrera,385,125,https://www.atptour.com/en/players/adria-soriano-barrera/s0bt/overview
H. Stewart,386,125,https://www.atptour.com/en/players/hamish-stewart/s0ex/overview
D. Martin,387,124,https://www.atptour.com/en/players/dan--martin/m0c2/overview
T. Svajda,388,124,https://www.atptour.com/en/players/trevor-svajda/s0vm/overview
A. Fenty,389,124,https://www.atptour.com/en/players/andrew-fenty/f0ck/overview
L. Ambrogi,390,124,https://www.atptour.com/en/players/luciano-emanuel-ambrogi/a0ik/overview
T. Compagnucci,391,122,https://www.atptour.com/en/players/tommaso-compagnucci/c0bb/overview
O. Wallin,392,122,https://www.atptour.com/en/players/olle-wallin/w0bu/overview
M. Moeller,393,122,https://www.atptour.com/en/players/marvin-moeller/m0bn/overview
Y. Erel,394,121,https://www.atptour.com/en/players/yanki-erel/e0aa/overview
J. Cui,395,121,https://www.atptour.com/en/players/jie-cui/c0aj/overview
C. Negritu,396,121,https://www.atptour.com/en/players/christoph-negritu/n731/overview
F. Bagnis,397,120,https://www.atptour.com/en/players/facundo-bagnis/bf23/overview
L. Maxted,398,120,https://www.atptour.com/en/players/lui-maxted/m0nj/overview
D. Yevseyev,399,120,https://www.atptour.com/en/players/denis-yevseyev/y171/overview
L. Poullain,400,120,https://www.atptour.com/en/players/lucas-poullain/pj74/overview
