player,rank,points,url_perfil
A. Shevchenko,76,716,https://www.atptour.com/en/players/alexander-shevchenko/s0h2/overview
R. Burruchaga,77,703,https://www.atptour.com/en/players/roman-andres-burruchaga/b0fv/overview
S. Ofner,78,694,https://www.atptour.com/en/players/sebastian-ofner/o513/overview
E. Spizzirri,79,688,https://www.atptour.com/en/players/eliot-spizzirri/s0ja/overview
R. Bautista Agut,80,685,https://www.atptour.com/en/players/roberto-bautista-agut/bd06/overview
H. Medjedovic,81,680,https://www.atptour.com/en/players/hamad-medjedovic/m0jf/overview
Z. Svajda,82,674,https://www.atptour.com/en/players/zachary-svajda/s0k7/overview
T. Tirante,83,673,https://www.atptour.com/en/players/thiago-agustin-tirante/t0a1/overview
A. Vukic,84,663,https://www.atptour.com/en/players/aleksandar-vukic/v832/overview
A. Kovacevic,85,661,https://www.atptour.com/en/players/aleksandar-kovacevic/k0az/overview
F. Misolic,86,660,https://www.atptour.com/en/players/filip-misolic/m0jz/overview
F. Comesana,87,659,https://www.atptour.com/en/players/francisco-comesana/c0df/overview
P. Carreno Busta,88,659,https://www.atptour.com/en/players/pablo-carreno-busta/cd85/overview
R. Jodar,89,652,https://www.atptour.com/en/players/rafael-jodar/j0dz/overview
Q. Halys,90,650,https://www.atptour.com/en/players/quentin-halys/hb64/overview
M. Berrettini,91,650,https://www.atptour.com/en/players/matteo-berrettini/bk40/overview
A. Blockx,92,649,https://www.atptour.com/en/players/alexander-blockx/b0pg/overview
G. Dimitrov,93,645,https://www.atptour.com/en/players/grigor-dimitrov/d875/overview
A. Muller,94,645,https://www.atptour.com/en/players/alexandre-muller/mp20/overview
J. Duckworth,95,640,https://www.atptour.com/en/players/james-duckworth/d994/overview
P. Kypson,96,640,https://www.atptour.com/en/players/patrick-kypson/k0a3/overview
J. Fearnley,97,639,https://www.atptour.com/en/players/jacob-fearnley/f0by/overview
S. Wawrinka,98,633,https://www.atptour.com/en/players/stan-wawrinka/w367/overview
J. de Jong,99,625,https://www.atptour.com/en/players/jesper-de-jong/d0c1/overview
C. Garin,100,624,https://www.atptour.com/en/players/cristian-garin/gd64/overview
A. Vallejo,101,621,https://www.atptour.com/en/players/adolfo-daniel-vallejo/v0dp/overview
R. Hijikata,102,619,https://www.atptour.com/en/players/rinky-hijikata/h0bh/overview
B. Bonzi,103,616,https://www.atptour.com/en/players/benjamin-bonzi/bm95/overview
E. Nava,104,615,https://www.atptour.com/en/players/emilio-nava/n0am/overview
A. Walton,105,614,https://www.atptour.com/en/players/adam-walton/w09e/overview
M. Landaluce,106,607,https://www.atptour.com/en/players/martin-landaluce/l0il/overview
M. Arnaldi,107,605,https://www.atptour.com/en/players/matteo-arnaldi/a0fc/overview
V. Gaubas,108,603,https://www.atptour.com/en/players/vilius-gaubas/g0fw/overview
L. Van Assche,109,601,https://www.atptour.com/en/players/luca-van-assche/v0dz/overview
D. Svrcina,110,591,https://www.atptour.com/en/players/dalibor-svrcina/s0gd/overview
S. Shimabukuro,111,588,https://www.atptour.com/en/players/sho-shimabukuro/sy67/overview
D. Prizmic,112,585,https://www.atptour.com/en/players/dino-prizmic/p0hw/overview
P. Martinez,113,580,https://www.atptour.com/en/players/pedro-martinez/mo44/overview
F. Maestrelli,114,577,https://www.atptour.com/en/players/francesco-maestrelli/m0if/overview
