player,aces_avg,df_avg,serve_win_pct,bp_saved_pct,service_hold_pct
Alexander Blockx,108.0,26.0,74.0,68.0,84.0
Patrick Kypson,95.0,29.0,71.0,61.0,77.0
Zachary Svajda,154.0,70.0,68.0,55.0,72.0
Tomas Barrios Vera,89.0,51.0,64.0,61.0,68.0
Tristan Schoolkate,220.0,106.0,75.0,60.0,78.0
Mattia Bellucci,356.0,153.0,72.0,66.0,79.0
Francesco Maestrelli,47.0,13.0,69.0,59.0,76.0
Jordan Thompson,2196.0,606.0,72.0,61.0,79.0
Benjamin Bonzi,851.0,316.0,72.0,63.0,80.0
Rinky Hijikata,368.0,261.0,68.0,60.0,73.0
Laslo Djere,1678.0,1009.0,71.0,62.0,78.0
Chun Hsin Tseng,127.0,132.0,66.0,59.0,71.0
Mackenzie Mcdonald,1282.0,627.0,69.0,59.0,77.0
Shintaro Mochizuki,106.0,124.0,67.0,55.0,67.0
Rafael Jodar,22.0,6.0,64.0,47.0,63.0
David Goffin,3120.0,2036.0,71.0,59.0,76.0
Titouan Droguet,132.0,25.0,73.0,59.0,82.0
Elmer Moller,14.0,40.0,57.0,59.0,53.0
Dino Prizmic,71.0,67.0,69.0,54.0,72.0
Pablo Carreno Busta,2039.0,941.0,69.0,61.0,79.0
Jan Choinski,53.0,24.0,67.0,70.0,77.0
Martin Damm,172.0,29.0,80.0,59.0,91.0
Vilius Gaubas,0.0,2.0,55.0,58.0,61.0
Borna Coric,2344.0,890.0,72.0,61.0,81.0
Otto Virtanen,173.0,89.0,73.0,61.0,79.0
Dusan Lajovic,1607.0,769.0,67.0,60.0,76.0
Luca Van Assche,246.0,176.0,69.0,62.0,76.0
Marco Trungelliti,156.0,157.0,67.0,60.0,72.0
Sebastian Ofner,838.0,340.0,74.0,62.0,78.0
Nicolai Budkov Kjaer,59.0,25.0,69.0,52.0,72.0
Dane Sweeny,10.0,36.0,67.0,60.0,74.0
Sho Shimabukuro,61.0,25.0,71.0,40.0,75.0
Nikoloz Basilashvili,1361.0,1409.0,68.0,58.0,74.0
Coleman Wong,208.0,41.0,73.0,65.0,78.0
Jack Pinnington Jones,46.0,36.0,74.0,62.0,79.0
Moez Echargui,7.0,1.0,64.0,82.0,80.0
Andrea Pellegrino,13.0,12.0,63.0,50.0,70.0
Colton Smith,32.0,27.0,69.0,63.0,73.0
Chris Rodesch,7.0,5.0,78.0,60.0,88.0
Nicolas Jarry,2162.0,625.0,74.0,66.0,84.0
Billy Harris,178.0,66.0,71.0,65.0,81.0
Daniel Merida,0.0,0.0,0.0,0.0,0.0
Yibing Wu,242.0,121.0,68.0,62.0,77.0
Jaime Faria,126.0,79.0,73.0,55.0,76.0
Yunchaokete Bu,376.0,101.0,73.0,63.0,80.0
Liam Draxl,16.0,12.0,68.0,44.0,64.0
Lukas Klein,173.0,84.0,72.0,61.0,83.0
Brandon Holt,123.0,22.0,66.0,59.0,73.0
Michael Zheng,10.0,2.0,65.0,55.0,79.0
Kyrian Jacquet,61.0,25.0,73.0,66.0,80.0
Guy Den Ouden,2.0,5.0,60.0,69.0,74.0
Lloyd Harris,1622.0,351.0,75.0,61.0,82.0
Giulio Zeppieri,183.0,78.0,71.0,61.0,78.0
Arthur Fery,30.0,12.0,62.0,61.0,70.0
Hugo Dellien,177.0,161.0,63.0,57.0,69.0
Martin Landaluce,79.0,75.0,69.0,58.0,71.0
Alex Bolt,362.0,143.0,70.0,58.0,76.0
Mark Lajal,39.0,13.0,73.0,68.0,84.0
Arthur Gea,45.0,18.0,76.0,64.0,86.0
Francesco Passaro,148.0,103.0,69.0,56.0,76.0
Ugo Blanchet,92.0,64.0,70.0,53.0,74.0
Luka Mikrut,0.0,2.0,62.0,20.0,60.0
Stefano Travaglia,615.0,291.0,72.0,56.0,75.0
Matteo Gigante,66.0,59.0,72.0,68.0,77.0
Rei Sakamoto,15.0,8.0,66.0,66.0,77.0
Yoshihito Nishioka,591.0,494.0,65.0,58.0,74.0
Gael Monfils,7650.0,3442.0,73.0,62.0,81.0
Daniil Glinka,0.0,0.0,0.0,0.0,0.0
Henrique Rocha,40.0,33.0,63.0,49.0,68.0
Leandro Riedi,79.0,61.0,68.0,57.0,75.0
Harold Mayot,123.0,51.0,68.0,63.0,77.0
Roberto Carballes Baena,797.0,814.0,67.0,58.0,73.0
Jurij Rodionov,209.0,97.0,70.0,58.0,77.0
Yosuke Watanuki,396.0,173.0,76.0,63.0,82.0
Zsombor Piros,17.0,8.0,57.0,51.0,56.0
Nicolas Mejia,7.0,6.0,60.0,32.0,52.0
Alex Barrena,4.0,4.0,63.0,55.0,67.0
Vitaliy Sachko,41.0,21.0,68.0,65.0,75.0
Federico Agustin Gomez,63.0,33.0,69.0,57.0,73.0
Juan Pablo Ficovich,23.0,14.0,69.0,63.0,74.0
Daniel Elahi Galan,584.0,200.0,68.0,59.0,74.0
Jay Clarke,74.0,59.0,69.0,60.0,74.0
Roman Safiullin,884.0,420.0,73.0,61.0,80.0
Bernard Tomic,2755.0,615.0,71.0,64.0,81.0
Elias Ymer,428.0,332.0,68.0,58.0,71.0
Pablo Llamas Ruiz,35.0,17.0,66.0,64.0,75.0
